Training started at 2026-02-18 20:08:41.773622
Configuration:
  Dataset: SEED (62 channels, 200Hz)
  Segment length: 4000 samples
  LR: 0.001, Min LR: 1e-06
  Batch size: 32
  Mask ratio: 0.75
  Epochs: 200
============================================================

Epoch   0 | Loss: 1.1585 | Cor: -0.0001 | LR: 4.97e-05
Epoch  63 | Loss: 0.4724 | Cor: 0.7321 | LR: 8.60e-04 ✓ BEST
Epoch  64 | Loss: 0.4719 | Cor: 0.7321 | LR: 8.54e-04
Epoch  65 | Loss: 0.4710 | Cor: 0.7327 | LR: 8.48e-04 ✓ BEST
Epoch  66 | Loss: 0.4703 | Cor: 0.7330 | LR: 8.41e-04 ✓ BEST
Epoch  67 | Loss: 0.4687 | Cor: 0.7342 | LR: 8.35e-04 ✓ BEST
Epoch  68 | Loss: 0.4685 | Cor: 0.7344 | LR: 8.28e-04 ✓ BEST
Epoch  69 | Loss: 0.4671 | Cor: 0.7349 | LR: 8.22e-04 ✓ BEST
Epoch  70 | Loss: 0.4667 | Cor: 0.7355 | LR: 8.15e-04 ✓ BEST
Epoch  71 | Loss: 0.4649 | Cor: 0.7366 | LR: 8.08e-04 ✓ BEST
Epoch  72 | Loss: 0.4650 | Cor: 0.7364 | LR: 8.01e-04
Epoch  73 | Loss: 0.4633 | Cor: 0.7377 | LR: 7.94e-04 ✓ BEST
Epoch  74 | Loss: 0.4623 | Cor: 0.7384 | LR: 7.87e-04 ✓ BEST
Epoch  75 | Loss: 0.4620 | Cor: 0.7391 | LR: 7.80e-04 ✓ BEST
Epoch  76 | Loss: 0.4615 | Cor: 0.7391 | LR: 7.73e-04 ✓ BEST
Epoch  77 | Loss: 0.4607 | Cor: 0.7400 | LR: 7.65e-04 ✓ BEST
Epoch  78 | Loss: 0.4596 | Cor: 0.7401 | LR: 7.58e-04 ✓ BEST
Epoch  79 | Loss: 0.4598 | Cor: 0.7405 | LR: 7.50e-04 ✓ BEST
Epoch  80 | Loss: 0.4587 | Cor: 0.7408 | LR: 7.43e-04 ✓ BEST
Epoch  81 | Loss: 0.4577 | Cor: 0.7417 | LR: 7.35e-04 ✓ BEST
Epoch  82 | Loss: 0.4565 | Cor: 0.7423 | LR: 7.27e-04 ✓ BEST
Epoch  83 | Loss: 0.4565 | Cor: 0.7427 | LR: 7.20e-04 ✓ BEST
Epoch  84 | Loss: 0.4558 | Cor: 0.7428 | LR: 7.12e-04 ✓ BEST
